0,MT103 Single Customer Credit Transfer ,,,,,, -> ,pacs.008.001.08 FIToFICustomerCreditTransferV08,,,,,,,,,
1,Multiplicity,FieldTag,OptionLetter,Field Name,Option Format,Subfield Name, -> ,Message Building Block,Nesting Level 1,Nesting Level 2,Nesting Level 3,Nesting Level 4,Master function,"Translation 
Function",Comments,MT103 STP to pacs.008 CORE - Deltas,Comments
35,0..1,26,T,Transaction Type Code,3!c,, -> ,CreditTransferTransactionInformation,Purpose,Proprietary,,,,"Copy(Concatenate("":26T:"", Transaction Type Code))",Concatenation with :26T: requested - CBPR+ Workshop 19 November 2019,A,
36,1..1,32,A,Value Date/Currency/Interbank Settled Amount,YYMMDD3!a15d,, -> ,,,,,,,,,,
38,,32,A,Value Date/Currency/Interbank Settled Amount/Date,YYMMDD,Date, -> ,CreditTransferTransactionInformation,InterbankSettlementDate,,,,,MT_To_MXDate,,A,
41,,32,A,Value Date/Currency/Interbank Settled Amount,3!a,Currency, -> ,CreditTransferTransactionInformation,InterbankSettlementAmount,Currency,,,,MT_To_MXCurrencyAmount,,A,
42,,32,A,Value Date/Currency/Interbank Settled Amount,15d,Amount, -> ,CreditTransferTransactionInformation,InterbankSettlementAmount,Amount,,,,,,A,
,,,,,,,,,,,,,,,,,
43,0..1,33,B,Currency/Instructed Amount,3!a15d,, -> ,CreditTransferTransactionInformation,InstructedAmount,,,,,MT_To_MXCurrencyAmount,,A,
,,,,,,,,,,,,,,,,,
44,0..1,36,,Exchange Rate,12d,, -> ,CreditTransferTransactionInformation,ExchangeRate,,,,,MT_To_MXRate,,A,
,,,,,,,,,,,,,,,,,
54,1..1,50,a,Ordering Customer,,, -> ,,,,,,,,,,
45,,50,A,Ordering Customer,[/34x],Account, -> ,CreditTransferTransactionInformation,DebtorAccount,,,,,"IF 50A/Account IsAbsent THEN Copy ""NOTPROVIDED"" to Debtor/Id/OrgID/Other/ID and ""TXID"" to SchemeName/Code
ELSE
 MT_To_MXPartyAccount
ENDIF",,A,
46,,,,,4!a2!a2!c[3!c],BIC,,,Debtor,,,,,MT_To_MXAnyBIC,"CBPR+:If BIC is present and if DebtorAccount is absent, then Debtor/ Organisation Identification /Other must be present. 
Dummy values needed in MX when 50A Is present
",A,
49,,50,F,Ordering Customer,35x,PartyIdentifier, -> ,CreditTransferTransactionInformation,Debtor,,,,,"IF PartyIdentifier does not start with ""/"" 
THEN  MT_To_MXFATFIdentification 
ENDIF","PartyIdentifier is present and does not start with ""/"" means it is not an account.",A,
50,,,,,4*1!n/33x,NameAndAddress,,,,,,,,"MT_To_MXFATFNameAndAddress
",,A,
51,,50,F,Ordering Customer,35x,PartyIdentifier, -> ,CreditTransferTransactionInformation,DebtorAccount,,,,,"IF PartyIdentifier starts with ""/"" 
THEN MT_To_MXPartyAccount
ENDIF",,A,
52,,,,,4*1!n/33x,NameAndAddress,,,Debtor,,,,,MT_To_MXFATFNameAndAddress,,A,
53,,50,K,Ordering Customer,[/34x],Account, -> ,CreditTransferTransactionInformation,DebtorAccount,,,,,"IF 50K/Account IsAbsent THEN Copy ""NOTPROVIDED"" to Debtor/Id/OrgID/Other/ID AND ""TXID"" to SchemeName/Code (default value needed)
ELSE
MT_To_MXPartyAccount
ENDIF",Dummy value needed in MX when 50K Is present,A,
54,,,,,4*35x,NameAndAddress,,,Debtor,,,,,MT_To_MXPartyNameAndAddress,,A,
62,0..1,52,a,Ordering Institution,,, -> ,,,,,,,,,,
59,,52,A,Ordering Institution,[[/1!a][/34x]],Party Identifier, -> ,CreditTransferTransactionInformation,DebtorAgent,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" AND does not start with ""//FW""
THEN
MT_To_MXClearingIdentifier
ENDIF
","

Use the table in word document ""MT and ISO 20022 “Externalised” MX Clearing System Lists""

",A,
60,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,"
MT_To_MXBICFI",,A,
61,,52,A,Ordering Institution,[[/1!a][/34x]],Party Identifier, -> ,CreditTransferTransactionInformation,DebtorAgentAccount,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
MT_To_MXFinancialInstitutionAccount",,A,
62,,,,,4!a2!a2!c[3!c],BIC,,,DebtorAgent,,,,,MT_To_MXBICFI,,A,
64,,,,,4*35x,,,,,,,,,,,,
65,,52,D,Ordering Institution,[[/1!a][/34x]],Party Identifier, -> ,CreditTransferTransactionInformation,DebtorAgent,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN
MT_To_MXClearingIdentifier
ENDIF","Use the table in word document ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",N/A,
66,,,,,4*35x,NameAndAddress,,,,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
67,,52,D,Ordering Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,DebtorAgentAccount,,,,,"IF PartyIdentifier does not start with ""//"" OR starts with ""//CH"" 
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,N/A,
68,,,,,4*35x,NameAndAddress,,,DebtorAgent,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
69,0..1,53,a,Sender's Correspondent,,, -> ,,,,,,METAFCT001,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",,
70,,53,A,Sender's Correspondent,[[/1!a][/34x]],, -> ,GroupHeader,SettlementInformation,SettlementMethod,,,,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",A,
71,,,,,4!a2!a2!c[3!c],,,,,,,,,,,A,
72,,53,A,Sender's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructingReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF
","Use the table in word document ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",A,
73,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,MT_To_MXBICFI,,A,
74,,53,A,Sender's Correspondent,[[/1!a][/34x]],Account, -> ,GroupHeader,SettlementInformation,InstructingReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" OR starts with ""//CH"" 
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,A,
75,,,,,4!a2!a2!c[3!c],BIC,,,,InstructingReimbursementAgent,,,,MT_To_MXBICFI,,A,
76,,53,B,Sender's Correspondent,[[/1!a][/34x]],, -> ,GroupHeader,SettlementInformation,SettlementMethod,,,,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",A,53B/PartyIdentifier is mandatory in STP
77,,,,,[35x],, -> ,,,,,,,,,A,
78,,53,B,Sender's Correspondent,[[/1!a][/34x]],Party Identifier, -> ,GroupHeader,SettlementInformation,SettlementAccount,,,,"
IF PartyIdentifier does not start with ""//"" or starts with ""//CH"" THEN
MT_To_MXFinancialInstitutionAccount
ENDIF


",The PartyIdentifier subfield of field 53B is translated to the SettlementAccount indicating the account (relationship) between Sender and Receiver for settlement of the transaction.,A,53B/PartyIdentifier is mandatory in STP
79,,,,,[35x],Location,,,,,,,,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",A,
78,,53,B,Sender's Correspondent,[[/1!a][/34x]],Party Identifier, -> ,GroupHeader,SettlementInformation,InstructingReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" THEN
T20001 /* Error code list*/
ENDIF

",53B/ClearingSystemIdentifier will never be translated as per METAFCT001,A,53B/PartyIdentifier is mandatory in STP
79,,,,,[35x],Location,,,,,,,,, ,A,
82,,53,D,Sender's Correspondent,[[/1!a][/34x]],, -> ,GroupHeader,SettlementInformation,SettlementMethod,,,,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",N/A,
83,,,,,4*35x,,,,,,,,,,,N/A,
84,,53,D,Sender's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructingReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF

","Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",N/A,
85,,,,,4*35x,NameAndAddress,,,,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
86,,53,D,Sender's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructingReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,N/A,
87,,,,,4*35x,NameAndAddress,,,,InstructingReimbursementAgent,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
88,0..1,54,a,Receiver's Correspondent,,, -> ,,,,,,,"
",,,
89,,,,,,, -> ,,,,,,,,,,
90,,54,A,Receiver's Correspondent,[[/1!a][/34x]],, -> ,GroupHeader,SettlementInformation,SettlementMethod,,,,,,A,
91,,,,,4!a2!a2!c[3!c],,,,,,,,,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",A,
92,,54,A,Receiver's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructedReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF","Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""",A,
93,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,MT_To_MXBICFI,,A,
94,,54,A,Receiver's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructedReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF
",,A,
95,,,,,4!a2!a2!c[3!c],BIC,,,,InstructedReimbursementAgent,,,,MT_To_MXBICFI,,A,
96,,54,B,Receiver's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructedReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" THEN 
TR010
ENDIF",,N/A,
97,,,,,[35x],Location,,,,,,,,"
IF Location is present and PartyIdentifier is Absent THEN
{T20004 T11001 /* Error code list */
Copy ""NOTPROVIDED"" to InstructedReimbursementAgent/Name
Copy Location to InstructedReimbursementAgent/PostalAddress/AddressLine[1]}
ENDIF

",,N/A,
96,,54,B,Receiver's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructedReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH"" THEN
{MT_To_MXFinancialInstitutionAccount
Copy ""NOTPROVIDED"" to  InstructedReimbursementAgent/FinancialInstitutionIdentification/Name
   IF Location IsPresent THEN
        Copy Location to  InstructedReimbursementAgent/FinancialInstitutionIdentification/PostalAddress/AddressLine[1]
    ELSE Copy ""NOTPROVIDED"" to  InstructedReimbursementAgent/FinancialInstitutionIdentification/PostalAddress/AddressLine[1]
    ENDIF
}
ENDIF",,N/A,
97,,,,,[35x],Location,,,,InstructedReimbursementAgent,,,,,,N/A,
98,,54,D,Receiver's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,SettlementMethod,,,,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",N/A,
99,,,,,4*35x,NameAndAddress,,,,,,,,,,N/A,
100,,54,D,Receiver's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructedReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF
","Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""",N/A,
101,,,,,4*35x,NameAndAddress,,,,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
102,,54,D,Receiver's Correspondent,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,InstructedReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,N/A,
103,,,,,4*35x,NameAndAddress,,,,InstructedReimbursementAgent,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
104,0..1,55,a,Third Reimbursement Institution,,, -> ,,,,,,,,"METAFCT001 is the entry point for the  translation of the field 53a, 54a and 55a",,
105,,55,A,Third Reimbursement Institution,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,ThirdReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF
","Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",A,
106,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,MT_To_MXBICFI,,A,
107,,55,A,Third Reimbursement Institution,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,ThirdReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,A,
108,,,,,4!a2!a2!c[3!c],BIC,,,,ThirdReimbursementAgent,,,,MT_To_MXBICFI,,A,
96,,55,B,Third Reimbursement Institution,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,ThirdReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" THEN
TR014
ENDIF
",,N/A,
97,,,,,[35x],Location,,,,,,,,"IF Location is present and PartyIdentifier is Absent THEN
{ T20005 T11001 /* Error code list */
Copy ""NOTPROVIDED"" to ThirdReimbursementAgent/Name
Copy Location to ThirdReimbursementAgent/PostalAddress/AddressLine[1]}
ENDIF


",,N/A,
96,,55,B,Third Reimbursement Institution,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,ThirdReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH"" THEN
{MT_To_MXFinancialInstitutionAccount
Copy ""NOTPROVIDED"" to  ThirdReimbursementAgent/FinancialInstitutionIdentification/Name
   IF Location IsPresent THEN
        Copy Location to  ThirdReimbursementAgent/FinancialInstitutionIdentification/PostalAddress/AddressLine[1]
     ELSE Copy ""NOTPROVIDED"" to  ThirdReimbursementAgent/FinancialInstitutionIdentification/PostalAddress/AddressLine[1]
     ENDIF
}
ENDIF",,N/A,
97,,,,,[35x],Location,,,,ThirdReimbursementAgent,,,,,,N/A,
111,,55,D,Third Reimbursement Institution,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,ThirdReimbursementAgent,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF


","Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""",N/A,
112,,,,,4*35x,NameAndAddress,,,,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
113,,55,D,Third Reimbursement Institution,[[/1!a][/34x]],PartyIdentifier, -> ,GroupHeader,SettlementInformation,ThirdReimbursementAgentAccount,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,N/A,
114,,,,,4*35x,NameAndAddress,,,,ThirdReimbursementAgent,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
95,0..1,56,a,Intermediary Institution,,, -> ,,,,,,,,,,
115,,56,A,Intermediary Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,ClearingChannel,,,,TR009,,A,
116,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,,,A,
117,,56,A,Intermediary Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,IntermediaryAgent1,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with {""//CH"", ""//FW"", ""//RT""}
THEN MT_To_MXClearingIdentifier
ENDIF
","After ""//RT"", no other information is allowed in option A
Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",A,
118,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,MT_To_MXBICFI,,A,
119,,56,A,Intermediary Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,IntermediaryAgent1Account,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,A,
120,,,,,4!a2!a2!c[3!c],BIC,,,IntermediaryAgent1,,,,,MT_To_MXBICFI,,A,
121,,56,C,Intermediary Institution,/34x,, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,ClearingChannel,,,,TR009,,N/A,
122,,56,C,Intermediary Institution,/34x,PartyIdentifier, -> ,CreditTransferTransactionInformation,IntermediaryAgent1,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" THEN
TR002
ENDIF





","Dummy values might be used in Agent's Name and PostalAddresss in order to meet the CBPR+ rule for the agents in case of International payments ""IF BIC IsAbsent, Then Name and PostalAddress are mandatory"". A ClearingCode alone is allowed in case of national payments. Dummy values are still used if needed, to comply with International payment rule. For example, value ""NOTPROVIDED"" in AddressLine, if no (structured or unstructured) address is provided.
After ""//RT"", another Domestic Clearing code can follow in option C
MTClearingSystemCode might be proprietary and not listed in ISO list. ",N/A,
123,,56,C,Intermediary Institution,/34x,PartyIdentifier, -> ,CreditTransferTransactionInformation,IntermediaryAgent1Account,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH"" THEN
{ MT_To_MXFinancialInstitutionAccount

Copy ""NOTPROVIDED"" to IntermediaryAgent1/FinancialInstitutionIdentification/Name
Copy ""NOTPROVIDED"" to IntermediaryAgent1/FinancialInstitutionIdentification/PostalAddress/AddressLine}
ENDIF

",Dummy values because if Account is present then Agent is mandatory in MX,N/A,
124,,56,D,Intermediary Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,ClearingChannel,,,,TR009,,N/A,
125,,,,,4*35x,,,,,,,,,,,N/A,
126,,56,D,Intermediary Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,IntermediaryAgent1,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF","After ""//RT"", another Domestic Clearing code can follow in option D
Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",N/A,
127,,,,,4*35x,NameAndAddress,,,,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
128,,56,D,Intermediary Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,IntermediaryAgent1Account,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,N/A,
129,,,,,4*35x,NameAndAddress,,,IntermediaryAgent1,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
130,0..1,57,a,Account With Institution,,, -> ,,,,,,,,,,
131,,57,A,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,ClearingChannel,,,,TR009,,A,
132,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,,,A,
133,,57,A,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgent,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with {""//CH"", ""//RT"",""//FW""}
THEN MT_To_MXClearingIdentifier
ENDIF
","After ""//RT"", no other information is allowed in option A
Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",A,
134,,,,,4!a2!a2!c[3!c],BIC,,,,,,,,MT_To_MXBICFI,,A,
135,,57,A,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgentAccount,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,A,
136,,,,,4!a2!a2!c[3!c],BIC,,,CreditorAgent,,,,,MT_To_MXBICFI,,A,
137,,57,B,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgent,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" THEN
TR003
ENDIF",,N/A,
138,,,,,[35x],Location,,,,,,,,"
IF Location is present and PartyIdentifier is Absent THEN
T20007 T11001
Copy ""NOTPROVIDED"" to CreditorAgent/Name
Copy Location to CreditorAgent/PostalAddress/AddressLine[1]
ENDIF




",,N/A,
